timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],reset_integral,fw_control_yaw_wheel
59508000,0.045284443,-0.09680259,1.5614794,0.0,0.7086083,0.050107725,-0.018446026,0.7035789,0.0,0.0,-0.8013176,0,0
59556000,0.046247065,-0.09890937,1.5614794,0.0,0.7085304,0.05118822,-0.018855445,0.70356876,0.0,0.0,-0.8025956,0,0
59604000,0.04574633,-0.1001478,1.5614794,0.0,0.7085114,0.051445477,-0.019471316,0.70355225,0.0,0.0,-0.8033044,0,0
59660000,0.022492839,-0.05109771,1.5616558,0.0,0.7098521,0.025965827,-0.010231783,0.7037976,0.0,0.0,-0.8001376,0,0
59700000,0.021209098,-0.050868366,1.5616558,0.0,0.7098716,0.02542953,-0.010602078,0.70379204,0.0,0.0,-0.80075437,0,0
59756000,0.02033701,-0.054012656,1.5616558,0.0,0.709842,0.026225837,-0.012025562,0.70376974,0.0,0.0,-0.8018099,0,0
59804000,0.015554121,-0.044495698,1.5622071,0.0,0.709818,0.02118349,-0.010323105,0.7039908,0.0,0.0,-0.8019275,0,0
59860000,0.01585085,-0.047293086,1.5622071,0.0,0.7097842,0.0222731,-0.01121181,0.7039776,0.0,0.0,-0.8024745,0,0
59908000,0.015271368,-0.049204066,1.5622071,0.0,0.7097691,0.022739831,-0.0120942155,0.7039634,0.0,0.0,-0.80278295,0,0
59956000,0.01096177,-0.03958473,1.5640386,0.0,0.7092659,0.017834691,-0.010179718,0.70464194,0.0,0.0,-0.8024823,0,0
60004000,0.008793014,-0.04116645,1.5640386,0.0,0.709271,0.017622726,-0.0115048485,0.7046217,0.0,0.0,-0.80256236,0,0
60060000,0.008065318,-0.044006955,1.5640386,0.0,0.70925194,0.01836521,-0.012768728,0.70460016,0.0,0.0,-0.80267996,0,0
60100000,0.007540627,-0.04560863,1.5640386,0.0,0.7092418,0.018743306,-0.013521667,0.70458627,0.0,0.0,-0.8027076,0,0
60156000,0.0056854915,-0.03756978,1.5653231,0.0,0.70887357,0.015260951,-0.011314127,0.7050797,0.0,0.0,-0.8023699,0,0
60204000,0.0038173422,-0.039247476,1.5653231,0.0,0.708875,0.015190199,-0.012567404,0.7050585,0.0,0.0,-0.80237186,0,0
60260000,0.004472859,-0.033253565,1.5655807,0.0,0.70882237,0.0133109335,-0.010209912,0.7051875,0.0,0.0,-0.8021462,0,0
60300000,0.0031714658,-0.034507126,1.5655807,0.0,0.70882267,0.01329167,-0.011113076,0.7051739,0.0,0.0,-0.8021202,0,0
60356000,0.00083205814,-0.035489194,1.5655807,0.0,0.7088315,0.0128088,-0.0122859785,0.7051546,0.0,0.0,-0.80209726,0,0
